CSI#,,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,NORMAL MONTHS,SWITCHING MONTHS,START DATE,HOURS,BIAS,,TICK SIZE,FOOTNOTE,FULL POINT VALUE
376,,CL1,GLBX,Crude Oil Light-GLOBEX(Electronic Only; Last in Settle),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19930625,18:00 - 17:15,,,0.01,,1000 USD
377,,HO1,GLBX,Heating Oil #2-GLOBEX(Electronic Only; Last in Settle Field),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19930625,18:00 - 17:15,,,0.0001,,42000 USD
379,,PL1,GLBX,Platinum (Electronic Only; Last in Settle),5 USD,50 toz,USD / toz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19930702,18:00 - 17:15,,,0.1,,50 USD
381,,YTC,SFE,Australian Govt Bond 6%(10Yr),8 AUD,100000 AUD,percent,AUD,"3,6,9,12",,19841205,08:30 - 16:30,,,0.005,FN381,8000 AUD
382,,TU,CBT,T-Note-U.S.  2 Yr (Floor+Electronic Combined),6.25 USD,200000 USD,points,USD,"3,6,9,12",,19900622,17:30 - 16:00,,,0.0078125,FN382,2000 USD
391,,IND,BMF,Ibovespa Index,1 BRL,1 BRL x Index,points,BRL,"2,4,6,8,10,12",,19930427,09:30 - 16:30,,,1,,1 BRL
393,,CFC,BMF,Arabica Coffee,1 USD,6000 kg,USD / 60 kg,USD,"3,5,7,9,12",,19950615,10:00 - 15:30,,,0.05,,100 USD
394,,DIJ,BMF,One Day Bank Deposits,0.50 BRL,50000 BRL,percent,BRL,"1,2,3,4,5,6,7,8,9,10,11,12",,19950502,10:00 - 16:45,,,0.001,,500 BRL
395,,DOL,BMF,U.S. Dollar(Comm.),5 BRL,50000 BRL,BRL / 1000 USD,BRL,"1,2,3,4,5,6,7,8,9,10,11,12",,19970530,10:00 - 16:45,,,0.01,,500 BRL
401,,SG,CME,S&P 500 BARRA Growth Index,2.50 USD,250 USD x Index,points,USD,"3,6,9,12",,19921030,09:30 - 16:15,,,0.1,,250 USD
402,,SU,CME,S&P 500 BARRA Value Index,2.50 USD,250 USD x Index,points,USD,"3,6,9,12",,19921030,09:30 - 16:15,,,0.1,,250 USD
403,,DK,CME,Milk-Class IV,20 USD,200000 lb,USD / cwt,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20000710,08:00 - 13:10,,,0.01,,2000 USD
404,,DA,CME,Milk-Class III Fluid,20 USD,200000 lb.,USD / cwt,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19960111,08:00 - 13:10,,,0.01,,2000 USD
406,,KLI,MDEX,KLSE Comp Index,5 MYR,50 MYR x Index,points,MYR,"3,6,9,12","1,2,4,5,7,8,10,11",19870805,08:45 - 17:15,,,0.01,,500 MYR
409,,S2,CBT,Soybeans (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,"1,3,5,7,8,9,11",,19490103,18:00 - 13:15,,,0.25,,50 USD
410,,SM2,CBT,Soybean Meal  (Floor+Electronic Combined),10 USD,100 short tons,USD / short ton,USD,"1,3,5,7,8,9,10,12",,19510829,18:00 - 13:15,,,0.1,,100 USD
411,,BO2,CBT,Soybean Oil  (Floor+Electronic Combined),6 USD,60000 lb,0.01 USD / lb,USD,"1,3,5,7,8,9,10,12",,19500717,18:00 - 13:15,,,0.01,,600 USD
412,,C2,CBT,Corn  (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12","1,11",19490103,18:00 - 13:15,,,0.25,,50 USD
413,,W2,CBT,Wheat  (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19220103,18:00 - 13:15,,,0.25,,50 USD
414,,O2,CBT,Oats  (Floor+Electronic Combined),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19490103,18:00 - 13:15,,,0.25,,50 USD
415,,RR2,CBT,Rice-Rough  (Floor+Electronic Combined),2 USD,2000 cwt,USD / cwt,USD,"1,3,5,7,9,11",,19860820,18:00 - 14:30,,,0.005,,2000 USD
416,,EY,CME,Euroyen-3Mth,250 JPY,100000000 JPY,JPY / basis point,JPY,"3,6,9,12",,19960306,17:00 - 16:00,,,0.005,,250000 JPY
417,,AR,FINEX,Australian Dollar/New Zealand $,2 NZD,200000 AUD,NZD,NZD,"3,6,9,12",,19990514,19:00 - 15:00,,,0.00005,,200000 NZD
418,,YA,FINEX,Australian Dollar/Japanese Yen,200 JPY,200000 AUD,JPY,JPY,"3,6,9,12",,19990514,19:00 - 15:00,,,0.005,,200000 JPY
427,,FEY,EURONEXT,Euroyen-3Mth (LIFFE),250 JPY,100000000 JPY,JPY / basis point,JPY,"3,6,9,12",,19960411,09:00 - 16:00,,,0.005,,250000 JPY
429,,ND,CME,Nasdaq 100 Index (Floor+Electronic Combined),10 USD,100 USD x Index,points,USD,"3,6,9,12",,19851001,15:30 - 15:15,,,0.25,,100 USD
432,,NP,NYMEX,Natural Gas-Permian,10 USD,10000 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19960531,09:50 - 15:10,,,0.001,,10000 USD
441,,DB,CME,Butter,4 USD,40000 lb,0.01 USD / lb,USD,"2,3,4,5,6,7,9,10,11,12",,19960905,08:00 - 13:10,,,0.025,,400 USD
443,,MDX,EUREX,DAX Midcap Index-DTB,0.5 EUR,5 EUR x Index,points,EUR,"3,6,9,12",,19960923,09:30 - 16:00,,,0.1,,5 EUR
448,,STW,SGX,MSCI Taiwan Index (SIMEX),10 USD,100 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19970109,08:45 - 19:00,,,0.1,,100 USD
450,,RP,CME,Euro/British Pound,1.25 GBP,125000 EUR,GBP,GBP,"3,6,9,12",,19990111,17:00 - 16:00,,,0.00005,,125000 GBP
451,,RY,CME,Euro/Japanese Yen,1250 JPY,125000 EUR,JPY,JPY,"3,6,9,12",,19990111,17:00 - 16:00,,,0.01,,125000 JPY
452,,RF,CME,Euro/Swiss Franc,12.5 CHF,125000 EUR,CHF,CHF,"3,6,9,12",,19990111,17:00 - 16:00,,,0.0001,,125000 CHF
453,,JB,CME,Japanese Govt Bond-10yr,5000 JPY,50000000 JPY,percent,JPY,"3,6,9,12",,19990122,07:20 - 14:00,,,0.01,,500000 JPY
454,,CU2,CME,Euro(Floor Trading Only),12.5 USD,125000 EUR,USD,USD,"3,6,9,12",,19720516,07:20 - 14:00,,,0.0001,,125000 USD
455,,ND2,CME,Nasdaq 100(Floor Trading Only),1 USD,100 USD x Index,points,USD,"3,6,9,12",,19851001,08:30 - 15:15,,,0.25,,100 USD
458,,RA2,CME,South African Rand,5 USD,500000 ZAR,USD,USD,"3,4,6,9,12",,19970507,07:20 - 14:00,,,0.000025,,500000 USD
459,,NE2,CME,New Zealand Dollar,10 USD,100000 NZD,USD,USD,"3,6,9,12",,19970507,07:20 - 14:00,,,0.0001,,100000 USD
460,,JAL,TCE,Aluminum (Day Session),500 JPY,5 tonnes,JPY / kg,JPY,"2,4,6,8,10,12","1,3,5,7,9,11",19970407,09:00 - 15:30,,,0.1,,5000 JPY
466,,ALS,SAFEX,FTSE/JSE Top 40 Index,10 ZAR,10 ZAR x Index,points,ZAR,"3,6,9,12",,19900502,07:00 - 17:30,,,1,,10 ZAR
468,,INI,SAFEX,Industrial Index,10 ZAR,10 ZAR x Index,points,ZAR,"3,6,9,12",,19900502,07:00 - 17:30,,,1,,10 ZAR
471,,AU,FINEX,Australian Dollar,2 USD,200000 AUD,USD,USD,"3,6,9,12",,19970501,19:00 - 15:00,,,0.00005,,200000 USD
472,,ZX,FINEX,New Zealand Dollar,2 USD,200000 NZD,USD,USD,"3,6,9,12",,19970501,19:00 - 15:00,,,0.00005,,200000 USD
473,,ZY,FINEX,Swiss Franc/Japanese Yen,200 JPY,200000 CHF,JPY,JPY,"3,6,9,12",,19981120,19:00 - 15:00,,,0.005,,200000 JPY
478,,OL,FINEX,Euro/Norwegian Kroner,1 NOK,100000 EUR,NOK,NOK,"3,6,9,12",,19990514,19:00 - 15:00,,,0.00025,,100000 NOK
485,,YD,FINEX,Canadian Dollar,2 CAD,200000 CAD,CAD,CAD,"3,6,9,12",,19970711,19:00 - 15:00,,,0.00005,,200000 CAD
486,,STF,SICOM,Rubber TSR-20,2 USD,20 tonnes,0.01 USD / kg,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19970725,10:00 - 17:30,,,0.25,,200 USD
487,,ES,CME,S&P 500 Index-E-mini,0.50 USD,50 USD x Index,points,USD,"3,6,9,12",,19500103,15:45 - 15:15,,,0.25,,50 USD
491,,PSI,BDP,PSI 20 Index,1 EUR,1 EUR x Index,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,19970903,09:30 - 16:30,,,1,,1 EUR
496,,DJ,CBT,Dow Jones Industrial Index(Floor+Electronic Combined),10 USD,10 USD x Index,points,USD,"3,6,9,12",,19281001,15:30 - 15:15,,,1,,10 USD
497,,NQ,CME,Nasdaq 100 Index-E-mini,0.20 USD,20 USD x Index,points,USD,"3,6,9,12",,19851001,15:45 - 15:15,,,0.25,,20 USD
498,,JT,CME,Japanese Yen E-mini,6.25 USD,6250000 JPY,USD / 100 JPY,USD,"3,6,9,12",,19720517,14:30 - 14:00,,,0.0001,,62500 USD
499,,EX,CME,Euro E-mini,6.25 USD,62500 EUR,USD,USD,"3,6,9,12",,19720516,14:30 - 14:00,,,0.0001,,62500 USD
500,,HIR,HKEX,HIBOR 3Mth (HKFE),125 HKD,5000000 HKD,percent,HKD,"1,2,3,4,5,6,9,10,11,12","7,8",19970926,08:30 - 17:00,,,0.01,,12500 HKD
501,,KOS,KSE,KOSPI 200 Index,5000 KRW,500000 KRW x Index,points,KRW,"3,6,9,12",,19980120,09:00 - 15:00,,,0.05,,500000 KRW
506,,JKB,KEX,Azuki Beans-Red,80 JPY,2400 kg,JPY / 30 kg,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19980311,09:00 - 15:00,,,10,,80 JPY
507,,JKG,KEX,Sugar-Raw,10 JPY,10 tonnes,JPY / tonne,JPY,"1,3,5,7,9,11",,19980311,09:45 - 15:45,,,10,,10 JPY
509,,JSB,KEX,Soybeans-Imported,10 JPY,10 tonnes,JPY / tonne,JPY,"1,3,5,7,9,11",,19960624,09:20 - 15:20,,,10,,10 JPY
511,,JKC,KEX,Yellow Corn,50 JPY,50 tonne,JPY / tonne,JPY,"2,4,6,8,10,12",,19960624,09:20 - 15:20,,,10,,50 JPY
517,,BL2,EURONEXT,Wheat-Milling (MATIF),12.5 EUR,50 tonnes,EUR / tonne,EUR,"1,3,5,7,8,11",,19980327,11:15 - 18:00,,,0.25,,1250 EUR
519,,RU2,CME,Russian Ruble,25 USD,2500000 RUB,USD,USD,"3,6,9,12",,19980421,07:20 - 14:00,,,0.000025,FN519,2500000 USD
520,,CTX,OTOB,Czech Index,0.50 USD,5 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19980422,,,,0.01,,50 USD
521,,PTX,OTOB,Polish Index,0.50 USD,5 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19980422,,,,0.01,,50 USD
522,,RTX,OTOB,Russian Index,0.1 USD,10 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19980422,,,,0.01,,10 USD
523,,FEU,EURONEXT,Eurotop 100 Index (LIFFE),2 EUR,20 EUR x Index,points,EUR,"3,6,9,12",,19980512,09:00 - 16:00,,,0.5,,20 EUR
524,,CU,CME,Euro(Floor+Electronic Combined),12.50 USD,125000 EUR,USD,USD,"3,6,9,12",,19720516,14:30 - 14:00,,,0.0001,,125000 USD
527,,JAC,TGE,Coffee-Arabica,50 JPY,50 Bags(3450 kg),10 JPY / bag,JPY,"1,3,5,7,9,11",,19980616,09:00 - 15:30,,,10,,50 JPY
528,,JRC,TGE,Coffee-Robusta,50 JPY,50 Bags(5000 kg),10 JPY / bag,JPY,"1,3,5,7,9,11",,19980616,09:00 - 15:30,,,10,,50 JPY
529,,SXX,EUREX,DJ STOXX 50 Index,1 EUR,10 EUR x Index,points,EUR,"3,6,9,12",,19980622,10:00 - 17:00,,,0.1,,10 EUR
530,,SXE,EUREX,DJ Euro STOXX 50 Index,0.1 EUR,10 EUR x Index,points,EUR,"3,6,9,12",,19980622,10:00 - 22:00,,,0.01,,10 EUR
537,,MAW,SAFEX,Maize-White,1 ZAR,100 tonnes,ZAR / tonne,ZAR,"3,5,7,9,12","1,2,4,8,10,11",19980819,09:00 - 12:00,,,0.2,,100 ZAR
538,,MAY,SAFEX,Maize-Yellow,1 ZAR,100 tonnes,ZAR / tonne,ZAR,"3,5,7,9,12","1,4,6,8,10,11",19980819,09:00 - 12:00,,,0.2,,100 ZAR
539,,SSG,SGX,MSCI Singapore Stock Index (SIMEX),20 SGD,200 SGD x Index,points,SGD,"1,2,3,4,5,6,7,8,9,10,11,12",,19980901,08:45 - 17:15,,,0.1,,200 SGD
546,,EEI,EUREX,EURIBOR-3 Mth,2.50 EUR,1000000 EUR,percent,EUR,"3,4,6,9,12","1,2,5,7,8",19980918,08:45 - 17:15,,,0.005,,2500 EUR
550,,STL,SGX,Index-DJ Thailand Stock (SIMEX),3 USD,300 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19981102,10:45 - 17:45,,,0.05,,300 USD
551,,EBX,EUREX,Euro Buxl 4%,10 EUR,100000 EUR,points,EUR,"3,6,9,12",,19981002,08:00 - 19:00,,,0.01,FN551,1000 EUR
552,,EBL,EUREX,Euro German Bund,10 EUR,100000 EUR,percent,EUR,"3,6,9,12",,19901123,08:00 - 22:00,,,0.01,,1000 EUR
553,,EBM,EUREX,Euro German Bobl,1 EUR,100000 EUR,percent,EUR,"3,6,9,12",,19911004,08:00 - 22:00,,,0.005,,1000 EUR
554,,EBS,EUREX,Euro German Schatz,1 EUR,100000 EUR,percent,EUR,"3,6,9,12",,19970307,08:00 - 19:00,,,0.001,,1000 EUR
558,,FBO,EURONEXT,Swap Note(5 Yr) (LIFFE),10 EUR,100000 EUR,percent,EUR,"3,6,9,12",,19990114,07:00 - 18:00,,,0.01,FN558,1000 EUR
559,,FBP,EURONEXT,Swap Note(10 Yr) (LIFFE),10 EUR,100000 EUR,percent,EUR,"3,6,9,12",,19990114,07:00 - 18:00,,,0.01,FN559,1000 EUR
562,,EJ,FINEX,Euro/Japanese Yen,100 JPY,100000 EUR,JPY,JPY,"3,6,9,12",,19981120,19:00 - 15:00,,,0.005,,100000 JPY
563,,RK,FINEX,Euro/Swedish Krona,1 SEK,100000 EUR,SEK,SEK,"3,6,9,12",,19981120,19:00 - 15:00,,,0.00025,,100000 SEK
564,,RZ,FINEX,Euro/Swiss Franc,1 CHF,100000 EUR,CHF,CHF,"3,6,9,12",,19981120,19:00 - 15:00,,,0.00005,,100000 CHF
565,,FEI,EURONEXT,EURIBOR-3 Mth (LIFFE),2.50 EUR,1000000 EUR,percent,EUR,"3,6,9,12","1,2,4,5,7,8,10,11",19890420,01:00 - 21:00,,,0.005,,2500 EUR
566,,GB,FINEX,Euro/British Pound,1 GBP,100000 EUR,GBP,GBP,"3,6,9,12",,19981211,19:00 - 15:00,,,0.00005,,100000 GBP
567,,SEL,SGX,Euroyen LIBOR 3 Mth (SIMEX),250 JPY,100000000 JPY,JPY / basis point,JPY,"3,6,9,12",,19990222,07:43 - 19:05,,,0.005,,250000 JPY
568,,EL,CME,Euroyen 3 Mth (LIBOR),1250 JPY,100000000 JPY,points,JPY,"3,6,9,12",,19990401,07:20 - 14:00,,,0.001,,1250000 JPY
569,,SSD,SGX,SIBOR-3 Mth (SIMEX),2.5 SGD,1000000 SGD,SGD / basis point,SGD,"1,2,3,4,5,6,7,8,9,10,11,12",,19990910,08:45 - 17:00,,,0.005,,2500 SGD
575,,SRU,SICOM,Rubber RSS3,0.5 USD,5 tonnes,0.01 USD / kg,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19991117,10:00 - 17:30,,,0.25,,50 USD
576,,SRI,SICOM,Rubber RCS Index,5 USD,50 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19991117,10:00 - 17:30,,,0.1,,50 USD
580,,FEB,EURONEXT,FTSE Eurobloc 100 (LIFFE),2 EUR,20 EUR x Index,points,EUR,"3,6,9,12",,19990525,09:00 - 16:00,,,0.5,,20 EUR
581,,FET,EURONEXT,FTSE Eurotop 300 (LIFFE),2 EUR,20 EUR x Index,points,EUR,"3,6,9,12",,19990525,09:00 - 16:00,,,0.5,,20 EUR
582,,FEK,EURONEXT,FTSE Eurotop 300 excluding UK (LIFFE),2 EUR,20 EUR x Index,points,EUR,"3,6,9,12",,19990525,09:00 - 16:00,,,0.5,,20 EUR
583,,MSE,EURONEXT,MSCI Euro (LIFFE),2 EUR,20 EUR x Index,points,EUR,"3,6,9,12",,19990525,09:00 - 16:00,,,0.5,,20 EUR
584,,MSP,EURONEXT,MSCI Pan-Euro (LIFFE),2 EUR,20 EUR x Index,points,EUR,"3,6,9,12",,19990525,09:00 - 16:00,,,0.1,,20 EUR
586,,JGL,TCE,Gasoline (Day Session),50 JPY,50 kL,JPY / kL,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19990705,09:00 - 15:30,,,10,FN586,50 JPY
587,,JKE,TCE,Kerosene (Day Session),50 JPY,50 kL,JPY / kL,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19990705,09:00 - 15:30,,,10,FN587,50 JPY
588,,SXF,ME,S&P Canada 60  (Floor+Electronic Combined),2 CAD,200 CAD x Index,points,CAD,"3,6,9,12",,19981231,09:35 - 16:15,,,0.05,,200 CAD
589,,EMA,EURONEXT,Corn (MATIF),0.50 EUR,50 tonnes,EUR / tonne,EUR,"1,3,6,8,11",,19991001,10:45 - 18:30,,,0.25,,50 EUR
594,,DR2,CBT,Dow Jones Utility Average(Floor Trading Only),2 USD,200 USD x Index,points,USD,"3,6,9,12",,20000720,07:20 - 15:15,,,0.05,,200 USD
595,,DQ2,CBT,Dow Jones Transportation Average(Floor Trading Only),2 USD,20 USD x Index,points,USD,"3,6,9,12",,20000720,07:20 - 15:15,,,0.5,,20 USD
596,,DJ2,CBT,Dow Jones Industrial Average(Floor Trading Only),10 USD,10 USD x Index,points,USD,"3,6,9,12",,19281001,07:20 - 15:15,,,1,,10 USD
600,,EOX,EUREX,OMX Helsinki 25,0.10 EUR,10 EUR x Index,points,EUR,"2,3,4,5,6,8,9,10,12",,19950505,09:30 - 16:30,,,0.1,,10 EUR
601,,KRW,KOFEX,U.S. Dollar/Korean Won,5000 KRW,50000 KRW,KRW,KRW,"1,2,3,4,5,6,7,8,9,10,11,12",,19990423,09:30 - 16:30,,,0.1,,50000 KRW
602,,CDF,KOFEX,Korean CD Interest(3 Mth),12500 KRW,500000000 KRW,KRW / basis point,KRW,"3,6,9,12",,19990423,09:30 - 15:00,,,0.01,,1250000 KRW
603,,KTB,KOFEX,Korean T-Bond(3 Yr),10000 KRW,100000000 KRW,percent,KRW,"3,6,9,12",,19990929,09:30 - 15:00,,,0.01,,1000000 KRW
604,,KGD,KOFEX,Gold,1000 KRW,1 kg,KRW / gram,KRW,"2,4,6,8,10,12",,19990423,09:30 - 16:30,,,10,,1000 KRW
606,,JEG,CCX,Eggs,500 JPY,5000 kg,JPY / kg,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19991101,10:20 - 15:20,,,0.1,,5000 JPY
607,,JCG,CCX,Gasoline,20 JPY,20 kL,JPY / liter,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,20000112,09:40 - 15:40,,,10,,20 JPY
608,,JCK,CCX,Kerosene,20 JPY,10 kL,JPY / liter,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,20000112,09:40 - 15:40,,,10,,20 JPY
614,,YB2,SFE,Australian Bank Bills(90 Day) (Floor+Electronic Combined),24 AUD,1000000 AUD,AUD / basis point,AUD,"3,6,9,12",,19900111,17:10 - 16:30,,,0.01,,2400 AUD
615,,YT2,SFE,Australian Govt Bond 6%(3Yr) (Floor+Electronic Combined),2.8 AUD,100000 AUD,percent,AUD,"3,6,9,12",,19900222,17:10 - 16:30,,,0.005,FN615,2800 AUD
616,,YT3,SFE,Australian Govt Bond 6%(10Yr) (Floor+Electronic Combined),8 AUD,100000 AUD,percent,AUD,"3,6,9,12",,19891130,17:10 - 16:30,,,0.005,FN616,8000 AUD
619,,JNS,TGE,Soybeans-NonGMO,10 JPY,10 tonnes,JPY / tonne,JPY,"2,4,6,8,10,12",,20000518,10:00 - 14:30,,,10,,10 JPY
621,,KX,FINEX,U.S. Dollar/Swedish Krona,1 SEK,100000 USD,SEK / USD,SEK,"3,6,9,12",,20000512,20:00 - 18:00,,,0.00005,,100000 SEK
622,,NT,FINEX,U.S. Dollar/Norwegian Krone,1 NOK,100000 USD,NOK / USD,NOK,"3,6,9,12",,20000512,20:00 - 18:00,,,0.00005,,100000 NOK
623,,UA,FINEX,Euro/Australian Dollar,1 AUD,100000 EUR,AUD,AUD,"3,6,9,12",,20000512,19:00 - 15:00,,,0.00005,,100000 AUD
624,,AS,FINEX,Australian Dollar/Canadian Dollar,2 CAD,200000 AUD,CAD,CAD,"3,6,9,12",,20000512,19:00 - 15:00,,,0.00005,,200000 CAD
625,,HY,FINEX,Canadian Dollar/Japanese Yen,200 JPY,200000 CAD,JPY,JPY,"3,6,9,12",,20000512,19:00 - 15:00,,,0.005,,200000 JPY
626,,LMX,LME,LMEX Index,1 USD,10 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20000525,,,,0.1,,10 USD
627,,FTM,EURONEXT,FTSE TechMARK 100 Index (LIFFE),1 GBP,10 GBP x Index,points,GBP,"3,6,9,12",,20000627,08:00 - 16:30,,,0.5,,10 GBP
638,,JOS,OME,Rubber TRS 20,1000 JPY,10 tonnes,JPY / kg,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,20000628,09:30 - 15:30,,,0.1,,10000 JPY
639,,JKR,OME,Rubber RSS3,500 JPY,5000 kg,JPY / kg,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19970106,09:30 - 15:30,,,0.1,,5000 JPY
640,,JRI,OME,Rubber Index,200 JPY,20000 JPY x Index,points,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19970106,09:15 - 15:15,,,0.01,,20000 JPY
641,,JOA,OME,Aluminum,500 JPY,5000 kg,JPY / kg,JPY,"1,3,5,7,9,11",,19971001,10:00 - 15:00,,,0.1,,5000 JPY
643,,SIN,SGX,S&P CNX Nifty Index (SIMEX),2 USD,2 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20000925,09:00 - 22:55,,,0.1,,20 USD
644,,TX,TAIFEX,TAIEX Index,200 TWD,200 TWD x Index,points,TWD,"1,2,3,4,5,6,7,8,9,10,11,12",,20000828,08:45 - 13:45,,,1,,200 TWD
645,,TXF,TAIFEX,TSEC Finance Index,10 TWD,1000 TWD x Index,points,TWD,"1,2,3,4,5,6,7,8,9,10,11,12",,20000828,08:45 - 13:45,,,0.2,,1000 TWD
646,,TXE,TAIFEX,TSEC Electronics Index,40 TWD,4000 TWD x Index,points,TWD,"1,2,3,4,5,6,7,8,9,10,11,12",,20000828,08:45 - 13:45,,,0.05,,4000 TWD
648,,SS2,SGX,Nikkei 225 Index(Floor Trading Only) (SIMEX),500 JPY,500 JPY x Index,points,JPY,"3,6,9,12","1,2,4,5,7,8,10,11",19840104,07:55 - 14:25,,,1,,500 JPY
649,,HMH,HKEX,Hang Seng Index-Mini (HKFE),10 HKD,10 HKD x Index,points,HKD,"1,2,3,4,5,6,7,8,9,10,11,12",,20001009,09:45 - 16:15,,,1,,10 HKD
650,,MTX,TAIFEX,TAIEX  Index-Mini-TAIEX,50 TWD,50 TWD x Index,points,TWD,"1,2,3,4,5,6,7,8,9,10,11,12",,20061017,08:45 - 13:45,,,1,,50 TWD
655,,KSQ,KSE,KOSDAQ 50 Index,1000 KRW,100000 KRW x Index,points,KRW,"3,6,9,12",,20010215,09:00 - 15:15,,,0.05,,100000 KRW
658,,FBS,EURONEXT,Swap Note Euro-2 Yr (LIFFE),1 EUR,100000 EUR,points,EUR,"3,6,9,12",,20010330,07:00 - 18:00,,,0.005,FN658,1000 EUR
659,,ATF,ADEX,Index-FTSE/ASE 20,0.05 EUR,5 EUR x Index,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,20010406,09:45 - 13:30,,,0.25,,5 EUR
660,,AT4,ADEX,Index-FTSE/ASE Midcap 40,0.05 EUR,5 EUR x Index,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,20010406,09:45 - 13:30,,,0.25,,5 EUR
662,,ELB,ICE,Electricity Base (IPE),0.01 GBP x contract size in MWh,0.01 GBP / MWh x 24 x days,0.01 GBP,GBP,"1,2,3,4,5,6,7,8,9,10,11,12",,20010510,08:00 - 17:00,,,0.01,,1 GBP x contract size in MWh
663,,ELP,ICE,Electricity Peak (IPE),0.01 GBP x contract size in MWh,0.01 GBP / MWh x 24 x days,0.01 GBP,GBP,"1,2,3,4,5,6,7,8,9,10,11,12",,20051206,08:00 - 17:00,,,0.01,,1 GBP x contract size in MWh
666,,TU3,CBT,T-Note-U.S.  2 Yr(Floor Trading Only),6.25 USD,200000 USD,points,USD,"3,6,9,12",,19900622,08:20 - 15:00,,,0.0078125,,2000 USD
668,,RM2,NYFE,Mini-Russell 1000 Index (Floor Only),1 USD,100 USD x Index,points,USD,"3,6,9,12",,20010622,09:30 - 00:00,,,0.05,FN668,100 USD
669,,QL,NYMEX,Coal-Central Appalachian,15.50 USD,1550 tons,USD / ton,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20010712,10:30 - 14:30,,,0.01,,1550 USD
670,,SC,NYMEX,Crude Oil Brent(Floor Trading Only),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20010905,09:10 - 15:10,,,0.01,,1000 USD
673,,JSM,TGE,Soybean Meal,1 JPY,50000 kg,JPY,JPY,"1,3,5,7,9,11",,20011015,09:00 - 15:00,,,10,,1 JPY
674,,JCO,TCE,Crude Oil (Day Session),50 JPY,50 kL,JPY / kL,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,20010910,09:00 - 15:30,,,10,FN674,50 JPY
677,,ER2,CME,Index-E-Mini Russell 2000,1 USD,100 USD x Index,points,USD,"3,6,9,12",,20011023,15:45 - 15:15,,,0.1,,100 USD
678,,NI2,CBT,Swap Interest Rate 10 Yr(Floor Trading Only),15.625 USD,100000 USD,points,USD,"3,6,9,12",,20011026,07:20 - 14:00,,,0.015625,,1000 USD
679,,NI,CBT,Swap Interest Rate 10 Yr (Floor+Electronic Combined),15.625 USD,100000 USD,points,USD,"3,6,9,12",,20011026,17:30 - 16:00,,,0.015625,,1000 USD
684,,EMD,CME,Index-S&P Midcap 400 E-mini,1 USD,100 USD x Index,points,USD,"3,6,9,12",,20020128,15:45 - 15:15,,,0.1,,100 USD
686,,DD,CBT,Dow Jones Industrial Average Big $25 Index,25 USD,25 USD x Index,points,USD,"3,6,9,12",,20060320,18:15 - 16:00,,,1,,25 USD
688,,GI2,CME,Goldman Sachs Commodity(Floor Trading Only),2.50 USD,250 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19691231,08:45 - 14:00,,,0.05,,250 USD
